ID,Site,Species,Num,Model,Time.Deployment,Long.Deployment,Lat.Deployment,Time.Recovery,Long.Recovery,Lat.Recovery,Sex,Colony
SUDA_B1607_2018,Meio,Sula dactylatra,B1607,MK3006,04/05/2017 22:27,-32.4255,-3.8496,18/04/2018 16:49,-32.4255,-3.8496,M,1
SUDA_B1609_2018,Meio,Sula dactylatra,B1609,MK3006,05/05/2017 08:07,-32.4255,-3.8496,19/04/2018 15:52,-32.4255,-3.8496,M,2
SUDA_B1610_2018,Meio,Sula dactylatra,B1610,MK3006,04/05/2017 18:59,-32.4255,-3.8496,19/04/2018 16:40,-32.4255,-3.8496,F,3
SUDA_B1611_2018,Meio,Sula dactylatra,B1611,MK3006,05/05/2017 08:20,-32.4255,-3.8496,23/04/2018 10:25,-32.4255,-3.8496,F,2
SUDA_B1612_2018,Meio,Sula dactylatra,B1612,MK3006,05/05/2017 08:00,-32.4255,-3.8496,18/04/2018 18:22,-32.4255,-3.8496,F,2
SUDA_B1613_2018,Meio,Sula dactylatra,B1613,MK3006,04/05/2017 21:02,-32.4255,-3.8496,19/04/2018 17:00,-32.4255,-3.8496,F,4
SUDA_B1614_2018,Meio,Sula dactylatra,B1614,MK3006,04/05/2017 19:35,-32.4255,-3.8496,18/04/2018 17:50,-32.4255,-3.8496,M,3
SUDA_B1615_2017,Meio,Sula dactylatra,B1615,MK3006,05/05/2017 09:33,-32.4255,-3.8496,17/10/2017 12:00,-32.4255,-3.8496,M,1
SUDA_B1616_2018,Meio,Sula dactylatra,B1616,MK3006,04/05/2017 22:40,-32.4255,-3.8496,15/04/2018 13:30,-32.4255,-3.8496,M,1
SUDA_B1617_2018,Meio,Sula dactylatra,B1617,MK3006,05/05/2017 08:45,-32.4255,-3.8496,01/02/2018 00:00,-32.4255,-3.8496,M,2
SUDA_B1618_2018,Meio,Sula dactylatra,B1618,MK3006,04/05/2017 20:07,-32.4255,-3.8496,15/04/2018 13:30,-32.4255,-3.8496,M,2
SUDA_B1619_2017,Meio,Sula dactylatra,B1619,MK3006,05/05/2017 09:24,-32.4255,-3.8496,17/10/2017 12:00,-32.4255,-3.8496,M,1
SUDA_B1620_2018,Meio,Sula dactylatra,B1620,MK3006,05/05/2017 09:17,-32.4255,-3.8496,18/04/2018 17:07,-32.4255,-3.8496,F,1
SUDA_B1622_2018,Meio,Sula dactylatra,B1622,MK3006,05/05/2017 08:56,-32.4255,-3.8496,18/04/2018 18:44,-32.4255,-3.8496,M,2
SUDA_B1623_2018,Meio,Sula dactylatra,B1623,MK3006,05/05/2017 08:33,-32.4255,-3.8496,15/04/2018 13:30,-32.4255,-3.8496,F,2
SUDA_B1624_2018,Meio,Sula dactylatra,B1624,MK3006,04/05/2017 20:52,-32.4255,-3.8496,18/04/2018 17:24,-32.4255,-3.8496,M,4
SUDA_B1625_2017,Meio,Sula dactylatra,B1625,MK3006,04/05/2017 20:30,-32.4255,-3.8496,17/10/2017 12:00,-32.4255,-3.8496,M,1
SUDA_B1628_2018,Meio,Sula dactylatra,B1628,MK3006,04/05/2017 19:45,-32.4255,-3.8496,23/04/2018 10:10,-32.4255,-3.8496,M,3
SUDA_A25_2017,Meio,Sula dactylatra,A25,MK3005,04/05/2017 19:55,-32.4255,-3.8496,17/10/2017 12:00,-32.4255,-3.8496,M,2
SUDA_A33_2017,Meio,Sula dactylatra,A33,MK3005,06/05/2017 17:32,-32.4255,-3.8496,17/10/2017 12:00,-32.4255,-3.8496,F,2
SUDA_A34_2018,Meio,Sula dactylatra,A34,MK3005,05/05/2017 08:40,-32.4255,-3.8496,19/04/2018 15:40,-32.4255,-3.8496,F,2
SUDA_A35_2018,Meio,Sula dactylatra,A35,MK3005,06/05/2017 17:34,-32.4255,-3.8496,15/04/2018 13:30,-32.4255,-3.8496,M,2
SUDA_A36_2018,Meio,Sula dactylatra,A36,MK3005,06/05/2017 17:29,-32.4255,-3.8496,15/04/2018 13:30,-32.4255,-3.8496,F,2
SUDA_A23_2018,Meio,Sula dactylatra,A23,MK3005,04/05/2017 17:35,-32.4255,-3.8496,19/04/2018 16:34,-32.4255,-3.8496,M,3
SUDA_A28_2018,Meio,Sula dactylatra,A28,MK3005,04/05/2017 18:05,-32.4255,-3.8496,18/04/2018 18:05,-32.4255,-3.8496,M,3
SUDA_A30_2018,Meio,Sula dactylatra,A30,MK3005,06/05/2017 17:36,-32.4255,-3.8496,19/04/2018 16:09,-32.4255,-3.8496,F,2
SUDA_A40_2018,Meio,Sula dactylatra,A40,MK3005,06/05/2017 17:38,-32.4255,-3.8496,18/04/2018 18:54,-32.4255,-3.8496,F,2
SUDA_A31_2018,Meio,Sula dactylatra,A31,MK3005,04/05/2017 18:26,-32.4255,-3.8496,23/04/2018 16:20,-32.4255,-3.8496,F,3
SUDA_A27_2018,Meio,Sula dactylatra,A27,MK3005,04/05/2017 18:50,-32.4255,-3.8496,23/04/2018 09:55,-32.4255,-3.8496,F,3
SUDA_A41_2018,Meio,Sula dactylatra,A41,MK3005,06/05/2017 17:43,-32.4255,-3.8496,23/04/2018 15:15,-32.4255,-3.8496,F,2
SUDA_A38_2018,Meio,Sula dactylatra,A38,MK3005,04/05/2017 16:55,-32.4255,-3.8496,19/04/2018 13:58,-32.4255,-3.8496,M,1
SUSU_B1632_2017,Meio,Sula sula,B1632,MK3006,22/09/2016 20:35,-32.4255,-3.8496,02/12/2017 22:00,-32.4255,-3.8496,NA,NA
SUSU_B1639_2017,Meio,Sula sula,B1639,MK3006,22/09/2016 20:25,-32.4255,-3.8496,19/09/2017 20:00,-32.4255,-3.8496,NA,NA
SUSU_B1641_2017,Meio,Sula sula,B1641,MK3006,22/09/2016 13:30,-32.4255,-3.8496,17/09/2017 20:05,-32.4255,-3.8496,NA,NA
SUSU_B1646_2017,Meio,Sula sula,B1646,MK3006,23/09/2016 04:20,-32.4255,-3.8496,19/09/2017 20:15,-32.4255,-3.8496,NA,NA
SUSU_B1652_2017,Meio,Sula sula,B1652,MK3006,23/09/2016 03:20,-32.4255,-3.8496,14/09/2017 07:23,-32.4255,-3.8496,NA,NA
SUSU_B1653_2017,Meio,Sula sula,B1653,MK3006,22/09/2016 21:15,-32.4255,-3.8496,19/09/2017 21:10,-32.4255,-3.8496,NA,NA
